Time,Computer,Rack,PCB_id,Chip_id,Chip_v,Efuse_high,Efuse_low,Polarization,Mode,FE,FE active,RF Freq,IF Freq,LO Freq,atten IF,atten RF,Path IF,Path FE,P_in,P_out,Gain,CPin,CPout,CPin3,CPout3,Psat_in,Psat,Curr_1V2,Curr_1V5,Curr_1V8,Curr_2V7_FE,Curr_2V7_LO,Curr_2V7,Temp_FE00,Temp_FE01,Temp_FE02,Temp_FE03,Temp_FE04,Temp_FE05,Temp_FE06,Temp_FE07,Temp_FE08,Temp_FE09,Temp_FE10,Temp_FE11,Temp_FE12,Temp_FE13,Temp_FE14,Temp_FE15,TempADC_FE00,TempADC_FE01,TempADC_FE02,TempADC_FE03,TempADC_FE04,TempADC_FE05,TempADC_FE06,TempADC_FE07,TempADC_FE08,TempADC_FE09,TempADC_FE10,TempADC_FE11,TempADC_FE12,TempADC_FE13,TempADC_FE14,TempADC_FE15,Temp target,Temp ambient
2018-11-20 12:36:18,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-50,-42.02,7.98,NaN,NaN,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.42E-01,1.86E-01,5.02E-01,27,27,28,28,27,27,27,27,28,28,28,27,28,28,27,27,561,537,556,539,559,567,561,558,562,550,557,551,565,559,562,539,25,25.5
2018-11-20 12:36:20,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-46,-38.03,7.97,NaN,NaN,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.42E-01,1.86E-01,5.02E-01,28,28,27,28,28,28,28,28,28,28,28,28,28,28,28,27,559,536,555,539,560,567,562,558,561,550,556,550,564,559,561,539,25,25.5
2018-11-20 12:36:23,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-42,-34.32,7.68,NaN,NaN,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.42E-01,1.86E-01,5.02E-01,28,28,28,28,28,28,28,27,28,28,29,28,28,27,28,27,560,536,555,539,559,566,562,557,561,550,555,549,564,558,562,538,25,25.5
2018-11-20 12:36:27,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-38,-30.09,7.91,NaN,NaN,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.42E-01,1.86E-01,5.02E-01,28,28,28,28,28,28,28,28,28,28,29,28,28,27,28,27,559,535,554,538,559,566,560,558,560,549,555,550,563,559,562,538,25,25.5
2018-11-20 12:36:30,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-34,-26.08,7.92,NaN,NaN,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.42E-01,1.86E-01,5.02E-01,28,28,28,28,28,28,28,28,28,28,29,28,28,28,28,27,559,534,554,538,558,566,560,556,560,548,555,550,563,559,560,538,25,25.4
2018-11-20 12:36:32,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-30,-22.39,7.61,NaN,NaN,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.42E-01,1.86E-01,5.02E-01,28,28,28,28,28,28,28,28,28,28,29,28,28,28,28,28,559,534,554,538,558,566,560,556,561,547,555,549,563,558,561,537,25,25.4
2018-11-20 12:36:35,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-26,-18.21,7.79,NaN,NaN,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.42E-01,1.86E-01,5.02E-01,28,28,28,28,28,28,28,28,29,29,29,28,28,28,28,28,559,534,554,537,558,565,559,555,560,548,554,548,563,557,560,537,25,25.4
2018-11-20 12:36:39,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-22,-14.43,7.57,NaN,NaN,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.42E-01,1.86E-01,5.02E-01,28,29,28,28,28,28,28,28,28,28,29,28,29,28,28,28,559,533,554,538,558,565,560,556,559,548,554,548,562,558,560,536,25,25.4
2018-11-20 12:36:41,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-18,-10.6,7.4,NaN,NaN,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.42E-01,1.86E-01,5.02E-01,28,28,28,28,28,29,28,28,29,28,29,28,28,28,28,28,559,534,554,537,557,565,559,556,560,548,554,547,563,558,559,536,25,25.4
2018-11-20 12:36:44,ESELDMWH7652,2,T581806175,1a3,3,0,854,V,RX,0,16,37,3.072,6.678666667,3.6,18.42,RX_IF_V,FE00_V,-14,-7.37,6.63,-14,-7.37,NaN,NaN,NaN,NaN,1.10E-01,5.05E-01,1.49E-03,7.43E-01,1.86E-01,5.02E-01,28,28,28,28,28,29,29,28,29,29,29,28,29,28,28,28,559,534,553,537,558,564,558,556,559,548,554,547,562,557,560,536,25,25.4
